id	paper	permanent_id	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
3841	378	GF04010230S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1189212	0	26
3843	378	GF04010231S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	614790	0	1960
3845	378	GF04010232S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1108803	0	260
3847	401	GF04006214S	soil	48.7622	13.8846	Europe	2016	2016	forest	gITS7/ITS4	5.4	958	4.5	20.6	8404	0	539
3848	405	GF04006008S	soil	43.3463	144.654	Asia	2012	2012	forest	ITS1F_KYO2/ITS2_KYO2	6.9	1069	5.3	21.3	56088	0	1
3851	549	GF03006266S	root	60.7542	25.2594	Europe	2016	2016	forest	gITS7/ITS4	4.7	635	4.4	18.7	158503	0	13
3852	564	GF03004893S	soil	47.922	20.1923	Europe	2017	2017	forest	fITS7/ITS4	10.1	553	6.7	4.1	48466	0	208
3855	835	GF01001089S	soil	-35.0917	138.676	Australia	2014	2014	woodland	ITS1F/ITS4	14.6	783	5.7	3.9	84001	0	3
3857	835	GF01001090S	soil	-42.1062	148.341	Australia	2013	2013	woodland	ITS1F/ITS4	13.4	621	5.2	4.7	79059	0	60
3860	843	GF01000297S	soil	41.3915	-73.956	North America	2013	2013	forest	fITS7/ITS4	11.7	909	6	14.4	147907	0	134
3861	378	GF04011881S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	125532	0	1
3864	378	GF04010234S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	652405	0	87
3880	805	GF01005804S	soil	37.9176	-119.275	North America	2012	2012	forest	ITS1F/ITS2	1.5	741	5.6	10.3	45199	0	36
3886	378	GF04010236S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	204171	0	60
3887	378	GF04010253S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1139236	0	2
3896	286	GF05003940S	mosses	9.75	-83.78	North America	2015	2015	forest	5.8S_Fun/ITS4_Fun	18.3	4827	5	11.6	122069	0	1
3897	378	GF04009966S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	791419	0	81
3899	378	GF04009328S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	626367	0	3
3907	194	GF05012943S	soil	26.6589	89.3406	Asia	2018	2018	forest	ITS9MUNngs/ITS4ngsUni	24.1	3768	6	13.1	14750	0	241
3927	106	GF05021339S	root	36.7397	129.234	Asia	2020	2020	forest	5.8S_Fun/ITS4_Fun	10.2	1281	5.1	28.1	66186	0	38
3928	378	GF04009195S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1287313	0	93
3931	378	GF04011912S	topsoil	27.12	100.17	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	1241148	0	36
3932	378	GF04010241S	topsoil	24.53	101.02	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	1191632	0	13
3934	378	GF04010244S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	862387	0	1
3935	378	GF04010242S	topsoil	21.61	101.57	Asia	2016	2016	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	229244	0	1
3938	378	GF04013775S	topsoil	21.612	101.574	Asia	2015	2015	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	5	41612	0	1
3943	378	GF04010248S	topsoil	21.61	101.57	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	21.6	1418	5.2	1.4	540953	0	51
3947	378	GF04010251S	topsoil	27.12	100.17	Asia	2017	2017	forest	gITS7ngs/ITS4ngsUni	1.2	1179	NA	NA	734794	0	47552
3948	835	GF01001102S	soil	-12.9326	135.202	Australia	2013	2013	woodland	ITS1F/ITS4	26.7	1100	6.3	1.5	100963	0	11
3952	110	GF05020360S	soil	58.0667	12.0167	Europe	2015	2015	forest	ITS1F/ITS2	7	900	4.3	16.6	34546	0	1
3960	312	GF04017309S	soil	58.7837	26.7748	Europe	2015	2015	anthropogenic	ITS9MUNngs/ITS4ngsUni	5.5	589	5.7	14.2	1173	0	1
3961	378	GF04012068S	topsoil	24.53	101.02	Asia	2014	2014	forest	gITS7ngs/ITS4ngsUni	12.9	1557	5.4	11.3	994279	0	260
