id,scientificName,latitude,longitude,eventDate,basisOfRecord,occurrenceStatus,datasetName,institutionCode,abundance
293,Amanita,-35.6364,138.121,2014-01-01,MaterialSample,present,Amanita_study,GBIF,1
295,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,12
297,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,8
298,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,71
299,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,245
310,Amanita,56.85,59.827,2017-01-01,MaterialSample,present,Amanita_study,GBIF,2
312,Amanita,47.01,6.66,2012-01-01,MaterialSample,present,Amanita_study,GBIF,1
315,Amanita,21.61,101.57,2017-01-01,MaterialSample,present,Amanita_study,GBIF,296
318,Amanita,60.2622,24.9088,2018-01-01,MaterialSample,present,Amanita_study,GBIF,2
322,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,18
323,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,19
324,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,312
325,Amanita,51.268,10.2388,2012-01-01,MaterialSample,present,Amanita_study,GBIF,4
326,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,86
330,Amanita,43.4018,144.64,2012-01-01,MaterialSample,present,Amanita_study,GBIF,3
331,Amanita,59.6342,24.9995,2016-01-01,MaterialSample,present,Amanita_study,GBIF,3
332,Amanita,43.3731,144.659,2012-01-01,MaterialSample,present,Amanita_study,GBIF,2
335,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,324
337,Amanita,24.53,101.02,2017-01-01,MaterialSample,present,Amanita_study,GBIF,199
339,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,56
340,Amanita,41.3915,-73.956,2013-01-01,MaterialSample,present,Amanita_study,GBIF,11
345,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,24
347,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,26
348,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
353,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,97
366,Amanita,21.612,101.574,2015-01-01,MaterialSample,present,Amanita_study,GBIF,3
367,Amanita,27.12,100.17,2014-01-01,MaterialSample,present,Amanita_study,GBIF,24517
372,Amanita,27.12,100.17,2017-01-01,MaterialSample,present,Amanita_study,GBIF,72
373,Amanita,36.7397,129.234,2020-01-01,MaterialSample,present,Amanita_study,GBIF,103
379,Amanita,27.167,100.167,2015-01-01,MaterialSample,present,Amanita_study,GBIF,69
387,Amanita,-38.6607,-72.6,2020-01-01,MaterialSample,present,Amanita_study,GBIF,23
388,Amanita,24.53,101.02,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
391,Amanita,46.0914,9.63358,2014-01-01,MaterialSample,present,Amanita_study,GBIF,2
393,Amanita,-33.6598,150.265,2014-01-01,MaterialSample,present,Amanita_study,GBIF,3
